"CheckId","Category","Severity","Status","Authority","Verified","Confidence","EvidenceLineNo","Evidence","Remediation","RemediationState","RemediationNotes"
"ICMP-TO-DEVICE","access","Medium","finding","CIS 2.5; Cisco hardening guide","False","heuristic","0","absent (absence)","Restrict ICMP to the device with icmp deny/permit statements (e.g., icmp deny any outside).","Open",""
"IF-URPF","access","Medium","finding","CIS 3.7; Cisco hardening guide","False","heuristic","0","absent (absence)","Enable ip verify reverse-path interface <untrusted-interface>.","Open",""
"LOG-ENABLE","logging","Medium","finding","CIS 1.10.1","True","deterministic","0","absent (absence)","Configure: logging enable.","Open",""
"LOG-TRAP","logging","Medium","finding","CIS 1.10 (trap level)","False","deterministic","0","absent (absence)","Configure logging trap (e.g., notifications or informational).","Open",""
"MGMT-ANY-SOURCE","management","Medium","finding","CIS 1.6.1; CIS 1.7.1","False","deterministic","102","http 0.0.0.0 0.0.0.0 outside","Restrict ssh/http access lines to specific management subnets on an internal interface.","Open",""
"NTP-AUTH","logging","Medium","finding","CIS 1.9.1.1; STIG V-239929","True","context-sensitive","112","ntp server 10.10.20.7","Enable ntp authenticate with an authentication-key and trusted-key for each ntp server.","Open",""
"SNMP-COMMUNITY","logging","Medium","finding","CIS 1.11.1; STIG V-239928","False","deterministic","108","snmp-server host inside 10.10.20.50 community [REDACTED] version 2c","Replace SNMP v1/v2c communities with SNMPv3 using auth (SHA) and priv (AES).","Open",""
"VERSION-EOL","management","Medium","finding","STIG V-239944; Cisco EoL notices","False","heuristic","6","ASA Version 9.8(4)","Upgrade to a currently-supported ASA release; verify against Cisco EoL notices (refresh the reference with Update-AsaEolData.ps1).","Open",""
"ACL-IMPLICIT-DENY-LOG","access","Low","finding","Cisco hardening guide","False","heuristic","86","access-group outside_in in interface outside","Append an explicit ""deny ip any any log"" to the bound access-list.","Open",""
"ACL-IMPLICIT-DENY-LOG","access","Low","finding","Cisco hardening guide","False","heuristic","87","access-group inside_in in interface inside","Append an explicit ""deny ip any any log"" to the bound access-list.","Open",""
"ACL-IMPLICIT-DENY-LOG","access","Low","finding","Cisco hardening guide","False","heuristic","88","access-group dmz_in in interface dmz","Append an explicit ""deny ip any any log"" to the bound access-list.","Open",""
"AUTH-BANNER","auth","Low","finding","CIS 1.5.3","True","deterministic","0","absent (absence)","Configure a banner login with the organization-approved notice text.","Open",""
"AUTH-BANNER-MOTD","auth","Low","finding","CIS 1.5.1","False","deterministic","0","absent (absence)","Configure a banner motd with the organization-approved text.","Open",""
"AUTH-CMD-ACCT","auth","Low","finding","CIS 1.4.5.1","False","deterministic","0","absent (absence)","Configure aaa accounting command <server-group>.","Open",""
"AUTH-PW-LIFETIME","auth","Low","finding","CIS 1.1.5","False","deterministic","0","absent (absence)","Configure password-policy lifetime (e.g., 90 days, per policy).","Open",""
"DNS-LOOKUP","logging","Low","finding","CIS 3.1","False","heuristic","0","absent (absence)","Configure a dns server-group with one or more name-server entries.","Open",""
"IF-SCANNING-THREAT","access","Low","finding","STIG V-239864","False","deterministic","0","absent (absence)","Configure threat-detection scanning-threat (optionally with shun).","Open",""
"IF-THREAT-STATS","access","Low","finding","CIS 3.6","False","deterministic","0","absent (absence)","Configure threat-detection statistics (e.g., tcp-intercept).","Open",""
"LOG-BUFFER-SIZE","logging","Low","finding","CIS 1.10.9","False","deterministic","114","logging buffered debugging","Set logging buffer-size to 524288 (512 KB) or larger.","Open",""
"LOG-TIMESTAMP","logging","Low","finding","CIS 1.10 (timestamps)","False","deterministic","0","absent (absence)","Configure logging timestamp.","Open",""
"HYGIENE-UNUSED-ACL","hygiene","Informational","finding","tool heuristic","False","heuristic","84","access-list unused_acl extended permit udp any any eq domain","Review and remove the unused access-list if it is genuinely not needed.","Open",""
"HYGIENE-UNUSED-OBJECT","hygiene","Informational","finding","tool heuristic","False","heuristic","54","object network partner-fqdn","Review and remove the unused object or object-group if it is genuinely not needed.","Open",""
"HYGIENE-UNUSED-OBJECT","hygiene","Informational","finding","tool heuristic","False","heuristic","65","object-group network nested-admins","Review and remove the unused object or object-group if it is genuinely not needed.","Open",""
"HYGIENE-UNUSED-OBJECT","hygiene","Informational","finding","tool heuristic","False","heuristic","72","object-group service legacy-ports tcp","Review and remove the unused object or object-group if it is genuinely not needed.","Open",""
"HYGIENE-UNUSED-OBJECT","hygiene","Informational","finding","tool heuristic","False","heuristic","75","object-group protocol routing-protos","Review and remove the unused object or object-group if it is genuinely not needed.","Open",""
